text,target
liste hazırlayan kız senin şimdi ebeni sikmeye geliyorum bekle amına koduğumun dal yarrağı,3
arap özentiliğini bırakamadınız amk şeriatçıları,1
hocam zor sorunca fazla maaş mi alıyorsunuz acaba gavur değiliz biz acıyın biraz ya,1
amına koduğumun çinlileri  ülkeye yaydırmış virüsü bu orospu çocuklarının yüzünden ölcez,3
sadece arap takımlarından oluşan bir kupon yaptım arabın hayrını burada da göremezsem sikerler böyle kardeşliği,1
haklısın hocam senin de boşalmaman lazım seni de tedavi edip kısırlaştıralım,0
 sen söyledin de bu çerez kapaklara doymadi  neyse ben essin olunca görecem onu,2
kızlar agırbaşlı erkek degilde göt yalayan erkek aradıkları sürece istedikleri şeyler yarım kalacak,2
seni gazete diye piyasaya sürenin de seni okuyanın da ,0
sustunuz geri zekalısın diye bana neden kızıyorsun,0
 ya biz çok gerizekâlıyız ya da,0
allahım ne olursa olsun gerizekalı bile olsun hatta deli olsun ama namuslu temiz olsun,2
operasyon çocukları gavur sıpaları içersen ve dışarıdan ülkeme saldıran itler  devletiminyanindayim,1
amk mağlupuz bizimki hala sol bek çıkartıp sol bek alıyor sokayım hocalığına senin lucescu,3
 tecavüz olur   taciz olur    sorun olmaz   yılbaşı kutlanılır   burası islam ülkesi bu ne rezalet denir   küfür etmicem ,1
milletin sikik sikik fotoğraflarını görünce cidden kendi fotoğraflarımı çok kaliteli buluyorum,3
lan siktir git amına kodumun milliyetsiz piçi sen önce siktir ged türkçe konuşmayı bırak burası türk cumhuriyeti,3
bu ne ya bir kere dinle ya yeter yemin ederim kendimi parçalamak istiyorum kaldıramıyorum ben bunları,0
burda nefes almak bile fazlasıyla sorun moruk,0
 amerika erdoğanı hedef aldıysa demekki doğru adam erdoğan ,1
böyle derbinin amk sorsan dünya derbisi derler,3
 geçmiş olsun  fenerin anasini sik,3
en azından ben ağzımı bozdum sizin gibi karakterimi değil amına koduğumun salakları,3
sırp piçine yazar,1
eski türkiye  su yeni türkiye  suriyeli,1
siktir etmek çok güzel bi terapi neyi siktir etceniz bilmiyorum ama birilerini bişeyleri siktir edin,3
penaltıları görmek istiyorum gol atanın canı cehenneme,0
 lord of the sıçırt çıkcak benden az kaldı,3
